slug,id,title,level,grades,type,topics,stepCount,requirements,summary,outcome,imageFile,shopUrl
"daisy--use-resources-wisely","ac81aa92-9cdf-4b27-85de-139adf70fc5b","Use Resources Wisely","Daisy","K-1","petal","","3","1. Reduce your use | 2. Reuse everyday things | 3. Recycle what is left","Find new ways to care for the environment by reducing, reusing, and recycling everyday items.","When you've earned this badge, you will know what it means to use resource wisely.","images/daisy/daisy--use-resources-wisely.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--animal-observer","006cab63-4d31-4ad3-bc03-e5b4b2070513","Animal Observer","Daisy","K-1","badge","Animals and Nature","3","1. Be an animal observer | 2. Play an animal observation game | 3. Focus on one animal","Find out how to learn about animals by watching them.","When you've earned this badge, you'll know more about observing animals.","images/daisy/daisy--animal-observer.png","https://www.girlscoutshop.com/daisy-animal-observer-badge?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--automotive-1-design","4fa17c94-cb05-48c3-9ec1-1f5cd7beccd7","Automotive 1: Design","Daisy","K-1","badge","Technology and Innovation","3","1. Choose special features for your vehicle | 2. Sketch your vehicle | 3. Sculpt and share your vehicle When you've earned this badge, you’ll know how people design cars.","Buckle up and explore how automotive designers imagine and make plans for a new vehicle, like a car or truck. Then, design your own!","","images/daisy/daisy--automotive-1-design.png","https://www.girlscoutshop.com/daisy-automotive-design-badge"
"daisy--automotive-2-engineering","7bc500ad-b405-4eb7-b608-cebd5dce759e","Automotive 2: Engineering","Daisy","K-1","badge","Technology and Innovation","3","1. Create your automotive engineering plan | 2. Build a vehicle prototype | 3. Test your vehicle prototype When you've earned this badge, you’ll know how automotive engineers work together to build cars and other vehicles.","Discover how automotive engineers turn ideas into real cars! Then, build, test, and improve a model of a vehicle.","","images/daisy/daisy--automotive-2-engineering.png","https://www.girlscoutshop.com/daisy-automotive-engineering-badge"
"daisy--automotive-3-manufacturing","6231b59c-7cf0-4c29-9ddd-fd52c896e4a2","Automotive 3: Manufacturing","Daisy","K-1","badge","Technology and Innovation","3","1. Explore efficient manufacturing and assembly lines | 2. Create an assembly line to manufacture vehicles | 3. Examine and test your vehicles for quality When you've earned this badge, you’ll know how manufacturers assemble high-quality vehicles.","Fire your engines and find out how automotive manufacturers build and test vehicles to make sure they’re ready for the road.","","images/daisy/daisy--automotive-3-manufacturing.png","https://www.girlscoutshop.com/daisy-automotive-manufacturing-badge"
"daisy--buddy-camper","6d7d5f3c-25e8-496d-abda-4a63381d5a33","Buddy Camper","Daisy","K-1","badge","Outdoor Adventure","3","1. Help plan a camping trip | 2. Help pack for your trip | 3. Go camping","When you earn this badge, you'll get to see what an adventure camping is! You'll get to play in nature, eat outside, and sleep under the stars with your family, buddies from your troop, or other friends.","When you’ve earned this badge, you’ll know how to go camping—at a campsite or in a back yard—with your family or friends.","images/daisy/daisy--buddy-camper.png","http://www.girlscoutshop.com/Daisy-Buddy-Camper-Badge"
"daisy--coding-for-good-1-coding-basics","f8b1d9a4-1a90-4362-a7ae-6c0942befd66","Coding for Good 1: Coding Basics","Daisy","K-1","badge","Technology and Innovation","3","1. Create algorithms for a computer that follow a sequence | 2. Learn about women in computer science | 3. Explore sorting algorithms","Find out how computers can be used to help others.","When you've earned this badge, you'll know how computer scientists code programs for computers to solve problems.","images/daisy/daisy--coding-for-good-1-coding-basics.png","https://www.girlscoutshop.com/daisy-coding-basics-badge"
"daisy--coding-for-good-2-digital-game-design","ff95f082-700e-4179-baac-f15776867b7c","Coding for Good 2: Digital Game Design","Daisy","K-1","badge","Technology and Innovation","3","1. Explore tools used to develop digital games | 2. Plan a maze game | 3. Build, test, and improve your maze game","Explore how video games can make a difference.","When you've earned this badge, you'll know how video games are designed.","images/daisy/daisy--coding-for-good-2-digital-game-design.png","https://www.girlscoutshop.com/daisy-digital-game-design-badge"
"daisy--coding-for-good-3-app-development","1d877147-1f70-4eeb-a382-f8b4114d791e","Coding for Good 3: App Development","Daisy","K-1","badge","Technology and Innovation","3","1. Decompose your problem into smaller steps | 2. Design an app that solves the problem | 3. Share and improve your app","Find out how programmers tackle big problems and make great apps.","When you've earned this badge, you'll know how computer scientists develop apps.","images/daisy/daisy--coding-for-good-3-app-development.png","https://www.girlscoutshop.com/daisy-app-development-badge"
"daisy--cookie-entrepreneur-family-pin","917b1ef0-46b0-4f14-a071-7cc47abdd612","Cookie Entrepreneur Family Pin","Daisy","K-1","pin","Awards","5","1. Set a goal | 2. Decide how to reach your goal | 3. Practice with money | 4. Learn to talk to customers | 5. Think like a Girl Scout","Have fun with your family as you earn this award while running your Girl Scout Cookie® business.","","images/daisy/daisy--cookie-entrepreneur-family-pin.png","https://www.girlscoutshop.com/custitem_grade_level/Daisy"
"daisy--cookie-entrepreneur-family-pin--2","eba4c6b8-88f4-48bf-86a9-5f275f41b192","Cookie Entrepreneur Family Pin","Daisy","K-1","pin","Awards","5","1. Set a goal | 2. Decide how to reach your goal | 3. Practice with money | 4. Learn to talk to customers | 5. Think like a Girl Scout","Have fun with your family as you earn this award while running your Girl Scout Cookie® business.","","images/daisy/daisy--cookie-entrepreneur-family-pin--2.png","https://www.girlscoutshop.com/custitem_grade_level/Daisy"
"daisy--cookie-goal-setter","b64996bd-b28b-4e5c-8721-259cb5ae7772","Cookie Goal Setter","Daisy","K-1","badge","Leadership and Your Future","3","1. Decide how you will use your money | 2. Set a package goal | 3. Share your goals with your customers","Decide how you will use your money, set goals and share them with real customers.","When you've earned this badge, you will know how to set and share your goals.","images/daisy/daisy--cookie-goal-setter.png","https://www.girlscoutshop.com/daisy-cookie-goal-setter-badge"
"daisy--cybersecurity-1-basics","eab66616-5fdb-4c9d-a84b-fc0257dbe8e7","Cybersecurity 1: Basics","Daisy","K-1","badge","Technology and Innovation","3","1. Find out how computers work | 2. Find out what safety and protection means | 3. Discover how you’re connected, just like computers are!","Find out about computer parts and how computers are connected, just like you!","When you've earned this badge, you'll know how how computers work and how to stay safe online.","images/daisy/daisy--cybersecurity-1-basics.png","http://girlscoutshop.com/Daisy-Cybersecurity-Basics-Badge"
"daisy--cybersecurity-2-safeguards","19ae37be-dcce-44c8-a329-9a125fb23fcc","Cybersecurity 2: Safeguards","Daisy","K-1","badge","Technology and Innovation","3","1. Discover what makes you different from others | 2. Find out what information is private | 3. Discover who is in your trust circle","Find out how to stay safe when you go online.","When you've earned this badge, you will know what privacy is and how to protect my identity.","images/daisy/daisy--cybersecurity-2-safeguards.png","http://girlscoutshop.com/Daisy-Cybersecurity-Safeguards-Badge"
"daisy--cybersecurity-3-investigator","6b95bc18-d208-457c-b542-c2474eb27008","Cybersecurity 3: Investigator","Daisy","K-1","badge","Technology and Innovation","3","1. Find out how to search for an answer | 2. Use clues to figure out who someone is | 3. Test your powers of observation","Find out how computers gather information and solve problems.","When you've earned this badge, you'll know how to use your powers of observation to investigate questions and find solutions.","images/daisy/daisy--cybersecurity-3-investigator.png","http://girlscoutshop.com/Daisy-Cybersecurity-Investigator-Badge"
"daisy--daisy-art-and-design","87b308f7-bd4d-4cef-8655-54ef4d8da784","Daisy Art and Design","Daisy","K-1","badge","Art and Imagination","3","1. Discover art and design | 2. Experiment with your medium | 3. Be inspired by a subject","Find out how to be a maker to turn ideas into art and to solve problems with design.","When you've earned this badge, you'll know how makers create art and designs.","images/daisy/daisy--daisy-art-and-design.png","https://www.girlscoutshop.com/daisy-art-and-design-badge"
"daisy--daisy-craft-and-tinker","55b8f8b4-f071-41c4-af40-d9424ba22b7d","Daisy Craft and Tinker","Daisy","K-1","badge","Art and Imagination","3","1. Learn the basics | 2. Craft with purpose | 3. Tinker with your craft","Find out how to make objects and then tinker to make them better.","When you've earned this badge, you'll know how to craft and tinker to make useful objects.","images/daisy/daisy--daisy-craft-and-tinker.png","https://www.girlscoutshop.com/daisy-craft-and-tinker-badge"
"daisy--daisy-create-and-innovate","7b69859a-2fc1-45b7-b252-58532b880792","Daisy Create and Innovate","Daisy","K-1","badge","Art and Imagination","3","1. Make something to solve a problem | 2. Make something for someone else | 3. Make something even better","Learn how makers build things to help people, animals, and the planet!","When you've earned this badge, you'll know how to create and innovate objects that help others.","images/daisy/daisy--daisy-create-and-innovate.png","https://www.girlscoutshop.com/daisy-create-and-innovate-badge?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--daisy-stem-career-exploration","50f7d1b1-ad84-42a0-86a4-b1801c106c56","Daisy STEM Career Exploration","Daisy","K-1","badge","Leadership and Your Future","3","1. Discover STEM | 2. Explore your future | 3. Learn about a STEM career When you've earned this badge, you'll know what STEM is. You'll also know how you can use STEM to help other people, animals, and the planet.","Find out how the things you love can become a part of your future.","","images/daisy/daisy--daisy-stem-career-exploration.png","https://www.girlscoutshop.com/daisy-stem-career-exploration-badge"
"daisy--daisy-snow-or-climbing-adventure","c3a0b20f-897b-4544-9547-38ab697abcd1","Daisy Snow or Climbing Adventure","Daisy","K-1","badge","Sports and Recreation","3","1. Choose your outdoor adventure | 2. Prepare for your adventure | 3. Go on your outdoor adventure","Choose your adventure: Be active outside in the snow, or boulder on a rock-climbing wall using just your arms and legs—no rope or harness!","When you've earned this badge, you'll know how to do active and fun things in the snow, or boulder up a rock-climbing wall in an indoor gym without a rope or harness.","images/daisy/daisy--daisy-snow-or-climbing-adventure.png","https://www.girlscoutshop.com/daisy-snow-or-climbing-adventure-badge"
"daisy--daisy-trail-adventure","1af3116f-0ba6-4547-9ac4-252886b4f365","Daisy Trail Adventure","Daisy","K-1","badge","Outdoor Adventure","3","1. Choose your outdoor adventure | 2. Prepare for your adventure | 3. Go on your outdoor adventure","Choose your adventure: Jog while you explore outdoors, or go on a hike and play games.","When you've earned this badge, you'll know how to go on an adventurous jog or play outdoor hiking games.","images/daisy/daisy--daisy-trail-adventure.png","https://www.girlscoutshop.com/daisy-trail-adventure-badge"
"daisy--democracy-for-daisies","6b0860d7-a54f-4b99-88ab-f410cdea0e38","Democracy for Daisies","Daisy","K-1","badge","Your World Near and Far","3","1. Find out about local government | 2. Find out about state government | 3. Find out about national government","Meet the people who work together in your government!","When you've earned this badge, you will have learned about the people who work together in your government.","images/daisy/daisy--democracy-for-daisies.png","https://www.girlscoutshop.com/democracy-for-daisies-badge"
"daisy--digital-leadership","e641f002-cd69-4bf8-8810-62a151549581","Digital Leadership","Daisy","K-1","badge","Leadership and Your Future","3","1. Discover your communities | 2. Explore a world of information | 3. Use technology for good","Explore digital and real world communities, learn which personal information is safe to share online and use technology to support a cause you care about.","When you've earned this badge, you will know about digital communities. You’ll know what information is safe to share online. You’ll know how technology can make the world a better place.","images/daisy/daisy--digital-leadership.png","https://www.girlscoutshop.com/daisy-digital-leadership-badge"
"daisy--eco-learner","af86a653-bfaa-4e28-b3c8-c0acf2e2a49f","Eco Learner","Daisy","K-1","badge","Outdoor Adventure","3","1. Be prepared to protect nature before you go outdoors | 2. Keep living things safe when you walk in nature | 3. Learn how to protect nature from trash","Nature gives us many gifts—now learn some ways to give back by protecting nature.","When you’ve earned this badge, you’ll have learned three ways to protect the environment when you go outdoors.","images/daisy/daisy--eco-learner.png","http://girlscoutshop.com/Daisy-Eco-Learner-Badge"
"daisy--fun-with-movement","8e4813e1-19f8-4bed-8c57-dffd4c284f03","Fun with Movement","Daisy","K-1","badge","Balanced Living","3","1. Groove to the music | 2. Move it outdoors | 3. Move big, move small","Find out how to have fun with your body through movement.","When you've earned this badge, you'll know your favorite ways to move your body for fun.","images/daisy/daisy--fun-with-movement.png","https://www.girlscoutshop.com/daisy-fun-with-movement-badge"
"daisy--globalactionaward","841b64b5-bd7f-4980-96b7-1d5aa71da3d3","GlobalActionAward","Daisy","K-1","award","Awards","0","","","","images/daisy/daisy--globalactionaward.png","https://www.girlscoutshop.com/Daisy-Take-Action-Award"
"daisy--good-neighbor","a9742e4b-782c-4561-be70-70b1d68250d5","Good Neighbor","Daisy","K-1","badge","Your World Near and Far","3","1. Explore your school | 2. Discover your city or town | 3. See what makes your state special","Find out how you can help your communities by being a good neighbor.","When you’ve earned this badge, you’ll know more about the communities you belong to—and how the people in your communities work together to be good neighbors to each other.","images/daisy/daisy--good-neighbor.png","http://www.girlscoutshop.com/Daisy-Good-Neighbor-Badge"
"daisy--journey-5-flowers-4-stories-3-cheers-for-animals","6fbef84d-6f9b-45bd-b834-46cba87d3b79","Journey: 5 Flowers, 4 Stories, 3 Cheers for Animals","Daisy","K-1","journey","Lifeskills; Journey","3","1. Find out what animals need and how to care for them—go on nature walks to observe animals; visit a farm, zoo, or animal shelter; or create an animal sculpture. | 2. Plan a Take Action project that teaches others how to care for animals. | 3. Earn 3 leadership awards: Birdbath Award, Red Robin Award, and Tula Award. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide. Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-5-flowers-4-stories-3-cheers-for-animals.png","https://www.girlscoutshop.com/DAISY-5-FLOWERS-4-STORIES-3-CHEERS-FOR-ANIMALS-AWARD-PATCH-SET"
"daisy--journey-between-earth-and-sky","75e4b884-fe08-4f6f-9144-bde7bc3648aa","Journey: Between Earth and Sky","Daisy","K-1","journey","Stem; Journey","3","1. Explore nature and learn how to keep the Earth healthy—visit a park or farm, talk to a scientist, or make origami butterflies to celebrate nature. | 2. Plan a Take Action project, such as planting a tree, creating a garden for a children's hospital, or putting on a play about protecting the Earth. | 3. Earn 3 leadership awards: Blue Bucket Award, Firefly Award, and Clover Award. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide. Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-between-earth-and-sky.png","https://www.girlscoutshop.com/DAISY-BETWEEN-EARTH-AND-SKY-AWARD-PATCH-SET"
"daisy--journey-outdoor-daisy","e60f5084-fa52-4cc2-9bc7-5eeefe8096e8","Journey: Outdoor (Daisy)","Daisy","K-1","journey","Outdoor Adventure; Journey","3","1. Explore the wonders of camping and learn how to make art outdoors. | 2. Plan a Take Action project that helps make your favorite park, beach, or forest a better place for everyone. | 3. Earn the Buddy Camper badge, the Outdoor Art Maker badge, and a Take Action Award. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide. Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-outdoor-daisy.png","https://www.girlscoutshop.com/Daisy-Outdoor-Art-Maker-Badge"
"daisy--journey-think-like-a-citizen-scientist","3fb9adf6-ebc2-474a-92d6-f75336ec23c7","Journey: Think Like a Citizen Scientist","Daisy","K-1","journey","Stem; Journey","3","1. Find out how scientists use the scientific method to investigate the world and make discoveries. | 2. Do hands-on activities to learn how to make observations and collect data. | 3. Plan a Take Action project that helps others. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide . Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-think-like-a-citizen-scientist.png","https://www.girlscoutshop.com/Daisy-Think-Like-a-Citizen-Scientist-Badge"
"daisy--journey-think-like-a-programmer","a87d99e1-5661-45dd-821e-2881dd8fa27f","Journey: Think Like a Programmer","Daisy","K-1","journey","Stem; Journey","3","1. Find out how programmers use computational thinking to solve problems. | 2. Do 3 computational thinking activities: Building a Foundation, Happy Maps, and Plant a Seed. | 3. Plan a Take Action project that helps others. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide . Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-think-like-a-programmer.png","https://www.girlscoutshop.com/Daisy-Think-Like-a-Programmer-Badge"
"daisy--journey-think-like-an-engineer","d3fd7c4a-ae83-4fc6-8d3a-7d583d7647dd","Journey: Think Like an Engineer","Daisy","K-1","journey","Stem; Journey","3","1. Find out how engineers use design thinking to solve problems. | 2. Do 3 hands-on design challenges: design and build a fairy house, a car powered by air, and a way to get across a canyon. | 3. Plan a Take Action project that helps others. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide . Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-think-like-an-engineer.png","https://www.girlscoutshop.com/Daisy-Think-Like-an-Engineer-Badge"
"daisy--journey-welcome-to-the-daisy-flower-garden","1738001c-8058-453c-857b-d1554b8dbf82","Journey: Welcome to the Daisy Flower Garden","Daisy","K-1","journey","Lifeskills; Journey","3","1. Explore the world of gardening—plant a mini-garden, learn about composting, find out how ladybugs help flowers, take a field trip to a public garden, or talk to a beekeeper. | 2. Plan a Take Action project, such as planting vegetables in a community garden or flowers at a nearby hospital. | 3. Earn 3 leadership awards: Watering Can Award, Golden Honey Bee Award, and Amazing Daisy Award. If you're a Girl Scout volunteer, go to Volunteer Toolkit for complete meeting plans and activity instructions.","In this Journey, you will:","Learn more about how to earn your Take Action Award — and help your community — with the Girl Scout Take Action Guide. Journeys are retiring on October 1, 2026.","images/daisy/daisy--journey-welcome-to-the-daisy-flower-garden.png","https://www.girlscoutshop.com/DAISY-JOURNEY-AWARD-PATCH-SET"
"daisy--math-in-nature-1-shapes-in-nature","07d01884-c4c1-4d6b-81e1-9e78f94c2a66","Math in Nature 1: Shapes in Nature","Daisy","K-1","badge","Animals and Nature","3","1. Search for shapes in nature | 2. Find and make patterns | 3. Create art inspired by nature","Identify shapes and patterns in natural objects, like rainbows, flowers, and leaves.","When you've earned this badge, you will know how to identify shapes and patterns in nature. You’ll also know how to create your own.","images/daisy/daisy--math-in-nature-1-shapes-in-nature.png","https://www.girlscoutshop.com/daisy-shapes-in-nature-badge"
"daisy--math-in-nature-2-numbers-in-nature","2d0e1524-1d6b-49a7-94d3-1aef7fd22e37","Math in Nature 2: Numbers in Nature","Daisy","K-1","badge","Animals and Nature","3","1. Search for shadows | 2. Sort natural objects | 3. Make your own unit of measure","Explore how to measure the size and amount of objects in nature. Create your own unit of measure for nature, too!","When you've earned this badge, you will know about shadows, measurement, sorting, and estimating.","images/daisy/daisy--math-in-nature-2-numbers-in-nature.png","https://www.girlscoutshop.com/daisy-numbers-in-nature-badge"
"daisy--math-in-nature-3-design-with-nature","c9325fe4-4025-414c-b498-681d0f767374","Math in Nature 3: Design with Nature","Daisy","K-1","badge","Animals and Nature","3","1. Count with birds | 2. Identify parts of nature | 3. Make a map","Observe and use what you know about the outdoors to make and do things in nature.","When you've earned this badge, you will know how to use math to identify and sort things in nature. You'll also know how to create a map.","images/daisy/daisy--math-in-nature-3-design-with-nature.png","https://www.girlscoutshop.com/daisy-design-with-nature-badge"
"daisy--mechanical-engineering-board-game","93d6fcc6-2898-405c-8276-76a0c06d82d1","Mechanical Engineering: Board Game","Daisy","K-1","badge","Technology and Innovation","3","1. Come up with an idea for your board game | 2. Design a spinner for your game | 3. Test your game and make it better","Create board games and engineer your own game spinner.","When you’ve earned this badge, you'll have created your own board game and learned what inventors and engineers do.","images/daisy/daisy--mechanical-engineering-board-game.png","http://www.girlscoutshop.com/Daisy-Board-Game-Design-Challenge-Badge"
"daisy--mechanical-engineering-model-car","ac324ed9-abf2-4e99-93d6-df269561a396","Mechanical Engineering: Model Car","Daisy","K-1","badge","Technology and Innovation","3","1. Design and build model cars | 2. Use model cars to test the friction of different surfaces | 3. Race your cars!","Build a model car and test the friction of your car on different surfaces to prepare for a Troop Car Chase!","When you’ve earned this badge, you'll have learned about friction by building and testing model cars. You will know how to design and test new things that you invent.","images/daisy/daisy--mechanical-engineering-model-car.png","http://www.girlscoutshop.com/Daisy-Model-Car-Design-Challenge"
"daisy--mechanical-engineering-roller-coaster","a53f049e-c774-41c3-ae89-98c79b168f91","Mechanical Engineering: Roller Coaster","Daisy","K-1","badge","Technology and Innovation","3","1. Make a simple roller coaster car | 2. Build a model of a roller coaster | 3. Test your roller coaster","Engineer your own roller coaster and see how its design affects its speed.","When you’ve earned this badge, you'll have learned about engineering and motion by building and testing a roller coaster.","images/daisy/daisy--mechanical-engineering-roller-coaster.png","http://www.girlscoutshop.com/Daisy-Roller-Coaster-Design-Challenge"
"daisy--money-explorer","062abadb-22a5-4223-aa78-ad132e5d11b4","Money Explorer","Daisy","K-1","badge","Balanced Living","3","1. Find out about different coins | 2. Know more about paper money | 3. Practice using paper and coin money When you’ve earned this badge, you will know how much paper bills and coins are worth and how to use money.","Learn what paper money and coins are worth and how to use money to buy things.","","images/daisy/daisy--money-explorer.png","https://www.girlscoutshop.com/daisy-money-explorer"
"daisy--my-first-cookie-business","1968f302-4a37-4466-ad94-a237696ebfca","My First Cookie Business","Daisy","K-1","badge","Leadership and Your Future","3","1. Find out about Girl Scout Cookies | 2. Decide how to use your cookie money and set a goal | 3. Practice your sales pitch When you've earned this badge, you will know how to sell Girl Scout Cookies and use the troop’s cookie money.","Find out how to sell cookies and get your customers excited for the new cookie season.","","images/daisy/daisy--my-first-cookie-business.png","https://www.girlscoutshop.com/daisy-my-first-cookie-business-badge"
"daisy--my-money-choices","02af035a-b0ea-409a-a47e-b76a34419e8e","My Money Choices","Daisy","K-1","badge","Balanced Living","3","1. Find out what you need and want | 2. Set a goal and save for what you need and want | 3. Explore how to make choices with money","Find out about what you need or want and learn how to make smart choices with the money you spend!","When you’ve earned this badge, you will know the difference between what you need and want, and you’ll learn how to make choices about money.","images/daisy/daisy--my-money-choices.png","https://www.girlscoutshop.com/daisy-my-money-choices-badge"
"daisy--outdoor-art-maker","fccd40ff-f20b-440b-9c24-059cfd7743bf","Outdoor Art Maker","Daisy","K-1","badge","Art and Imagination","3","1. See the colors of nature | 2. Hear the sounds of nature | 3. Share your outdoor art","Explore the outdoors and use what you see and hear to make different kinds of art projects.","When you’ve earned this badge, you’ll know how to look at nature like an artist and make your own outdoor art.","images/daisy/daisy--outdoor-art-maker.png","http://www.girlscoutshop.com/Daisy-Outdoor-Art-Maker-Badge"
"daisy--robotics-1-what-robots-do","d4eb4685-ac1e-4b7e-84e1-9eb5adc4bfd7","Robotics 1: What Robots Do","Daisy","K-1","badge","Technology and Innovation","3","1. Learn about robots | 2. Find out what robots can do | 3. Team up to design your own robots","Learn about the many things robots do. Then, work in teams, like engineers, to design a robot that solves an everyday problem.","When you’ve earned this badge, you'll know about the many things robots can be designed to do.","images/daisy/daisy--robotics-1-what-robots-do.png","http://www.girlscoutshop.com/Daisy-What-Robots-Do-Badge"
